Customer Id;Subscription Status;Rental Limit;
Cust_1000;Active;7;
Cust_1001;Active;9;
Cust_1002;Active;8;
Cust_1003;Active;11;
Cust_1004;Active;10;
Cust_1005;Active;10;
Cust_1006;Active;10;
Cust_1007;Active;11;
Cust_1008;Not Active;0;
Cust_1009;Active;9;
Cust_1010;Active;8;
Cust_1011;Active;10;
Cust_1012;Active;9;
Cust_1013;Active;7;
Cust_1014;Active;8;
Cust_1015;Active;11;
Cust_1016;Active;11;
Cust_1017;Active;11;
Cust_1018;Active;11;
Cust_1019;Active;7;
Cust_1020;Active;7;
Cust_1021;Active;10;
Cust_1022;Active;10;
Cust_1023;Active;8;
Cust_1024;Active;9;
Cust_1025;Active;11;
Cust_1026;Active;9;
Cust_1027;Active;9;
Cust_1028;Active;10;
Cust_1029;Not Active;0;
Cust_1030;Active;7;
Cust_1031;Active;11;
Cust_1032;Not Active;0;
Cust_1033;Active;11;
Cust_1034;Active;11;
Cust_1035;Active;10;
Cust_1036;Active;9;
Cust_1037;Not Active;0;
Cust_1038;Active;8;
Cust_1039;Active;8;
Cust_1040;Active;11;
Cust_1041;Active;10;
Cust_1042;Not Active;0;
Cust_1043;Active;10;
Cust_1044;Active;10;
Cust_1045;Active;9;
Cust_1046;Active;8;
Cust_1047;Not Active;0;
Cust_1048;Active;7;
Cust_1049;Active;7;
Cust_1050;Not Active;0;
Cust_1051;Active;8;
Cust_1052;Not Active;0;
Cust_1053;Active;8;
Cust_1054;Active;9;
Cust_1055;Not Active;0;
Cust_1056;Not Active;0;
Cust_1057;Active;9;
Cust_1058;Active;11;
Cust_1059;Active;11;
Cust_1060;Active;11;
Cust_1061;Active;7;
Cust_1062;Not Active;0;
Cust_1063;Active;11;
Cust_1064;Active;8;
Cust_1065;Active;8;
Cust_1066;Active;9;
Cust_1067;Active;9;
Cust_1068;Not Active;0;
Cust_1069;Active;9;
Cust_1070;Active;8;
Cust_1071;Active;7;
Cust_1072;Active;11;
Cust_1073;Active;10;
Cust_1074;Active;11;
Cust_1075;Active;9;
Cust_1076;Active;8;
Cust_1077;Active;9;
Cust_1078;Not Active;0;
Cust_1079;Active;7;
Cust_1080;Active;9;
Cust_1081;Active;10;
Cust_1082;Active;9;
Cust_1083;Active;10;
Cust_1084;Active;10;
Cust_1085;Active;10;
Cust_1086;Active;9;
Cust_1087;Not Active;0;
Cust_1088;Active;8;
Cust_1089;Active;9;
Cust_1090;Not Active;0;
Cust_1091;Not Active;0;
Cust_1092;Active;11;
Cust_1093;Active;7;
Cust_1094;Not Active;0;
Cust_1095;Active;11;
Cust_1096;Active;11;
Cust_1097;Active;9;
Cust_1098;Active;11;
Cust_1099;Active;7;
Cust_1100;Active;11;
Cust_1101;Not Active;0;
Cust_1102;Active;10;
Cust_1103;Active;9;
Cust_1104;Active;10;
Cust_1105;Active;8;
Cust_1106;Active;8;
Cust_1107;Active;10;
Cust_1108;Not Active;0;
Cust_1109;Not Active;0;
Cust_1110;Active;11;
Cust_1111;Active;8;
Cust_1112;Active;10;
Cust_1113;Active;11;
Cust_1114;Active;10;
Cust_1115;Active;7;
Cust_1116;Active;9;
Cust_1117;Active;10;
Cust_1118;Active;8;
Cust_1119;Active;7;
Cust_1120;Active;8;
Cust_1121;Active;10;
Cust_1122;Not Active;0;
Cust_1123;Active;8;
Cust_1124;Active;11;
Cust_1125;Active;7;
Cust_1126;Active;8;
Cust_1127;Active;9;
Cust_1128;Active;7;
Cust_1129;Active;10;
Cust_1130;Active;10;
