Game Id;Copy Id;Availability Status;
Copy_1;Game_1;Available;
Copy_1;Game_2;Not Available;
Copy_2;Game_2;Available;
Copy_3;Game_2;Available;
Copy_1;Game_4;Not Available;
Copy_2;Game_4;Available;
Copy_3;Game_4;Available;
Copy_1;Game_5;Available;
Copy_2;Game_5;Available;
Copy_3;Game_5;Not Available;
Copy_4;Game_5;Available;
Copy_1;Game_6;Available;
Copy_2;Game_6;Available;
Copy_3;Game_6;Available;
Copy_4;Game_6;Available;
Copy_5;Game_6;Available;
Copy_1;Game_7;Available;
Copy_2;Game_7;Not Available;
Copy_3;Game_7;Available;
Copy_4;Game_7;Available;
Copy_5;Game_7;Not Available;
Copy_6;Game_7;Available;
Copy_1;Game_8;Not Available;
Copy_2;Game_8;Available;
Copy_3;Game_8;Available;
Copy_1;Game_9;Available;
Copy_2;Game_9;Not Available;
Copy_3;Game_9;Available;
Copy_4;Game_9;Available;
Copy_5;Game_9;Available;
Copy_6;Game_9;Available;
Copy_1;Game_10;Available;
Copy_2;Game_10;Available;
Copy_3;Game_10;Available;
Copy_4;Game_10;Available;
Copy_5;Game_10;Available;
Copy_1;Game_11;Available;
Copy_2;Game_11;Not Available;
Copy_3;Game_11;Available;
Copy_4;Game_11;Not Available;
Copy_5;Game_11;Not Available;
Copy_1;Game_12;Available;
Copy_2;Game_12;Available;
Copy_3;Game_12;Available;
Copy_4;Game_12;Available;
Copy_1;Game_13;Available;
Copy_2;Game_13;Available;
Copy_3;Game_13;Available;
Copy_4;Game_13;Available;
Copy_1;Game_14;Available;
Copy_1;Game_15;Available;
Copy_2;Game_15;Available;
Copy_1;Game_16;Not Available;
Copy_2;Game_16;Available;
Copy_3;Game_16;Available;
Copy_4;Game_16;Available;
Copy_5;Game_16;Not Available;
Copy_1;Game_17;Available;
Copy_2;Game_17;Available;
Copy_3;Game_17;Available;
Copy_1;Game_18;Available;
Copy_1;Game_19;Available;
Copy_2;Game_19;Not Available;
Copy_3;Game_19;Not Available;
Copy_4;Game_19;Available;
Copy_1;Game_20;Available;
Copy_2;Game_20;Available;
Copy_3;Game_20;Available;
Copy_4;Game_20;Available;
Copy_5;Game_20;Available;
Copy_1;Game_21;Available;
Copy_1;Game_22;Not Available;
Copy_2;Game_22;Available;
Copy_3;Game_22;Available;
Copy_1;Game_23;Available;
Copy_2;Game_23;Available;
Copy_3;Game_23;Not Available;
Copy_1;Game_24;Not Available;
Copy_2;Game_24;Available;
Copy_3;Game_24;Available;
Copy_1;Game_26;Available;
Copy_2;Game_26;Available;
Copy_3;Game_26;Available;
Copy_4;Game_26;Available;
Copy_1;Game_27;Available;
Copy_2;Game_27;Not Available;
Copy_1;Game_30;Available;
Copy_2;Game_30;Available;
Copy_3;Game_30;Not Available;
Copy_1;Game_31;Available;
Copy_2;Game_31;Not Available;
Copy_3;Game_31;Not Available;
Copy_4;Game_31;Available;
Copy_5;Game_31;Not Available;
Copy_6;Game_31;Available;
Copy_1;Game_32;Available;
Copy_2;Game_32;Not Available;
Copy_3;Game_32;Available;
Copy_4;Game_32;Available;
Copy_1;Game_33;Not Available;
Copy_2;Game_33;Available;
Copy_3;Game_33;Available;
Copy_1;Game_34;Available;
Copy_2;Game_34;Available;
Copy_3;Game_34;Not Available;
Copy_1;Game_35;Available;
Copy_2;Game_35;Available;
Copy_3;Game_35;Not Available;
Copy_4;Game_35;Not Available;
Copy_5;Game_35;Available;
Copy_1;Game_36;Available;
Copy_2;Game_36;Available;
Copy_3;Game_36;Not Available;
Copy_4;Game_36;Not Available;
Copy_5;Game_36;Not Available;
Copy_1;Game_37;Available;
Copy_2;Game_37;Available;
Copy_3;Game_37;Available;
Copy_1;Game_38;Not Available;
Copy_2;Game_38;Available;
Copy_3;Game_38;Available;
Copy_4;Game_38;Not Available;
Copy_1;Game_39;Available;
Copy_2;Game_39;Available;
Copy_3;Game_39;Not Available;
Copy_1;Game_40;Available;
Copy_2;Game_40;Available;
Copy_3;Game_40;Available;
Copy_4;Game_40;Not Available;
Copy_5;Game_40;Available;
Copy_6;Game_40;Not Available;
Copy_1;Game_41;Available;
Copy_1;Game_42;Available;
Copy_2;Game_42;Not Available;
Copy_3;Game_42;Not Available;
Copy_4;Game_42;Available;
Copy_5;Game_42;Available;
Copy_1;Game_43;Available;
Copy_2;Game_43;Available;
Copy_3;Game_43;Available;
Copy_4;Game_43;Not Available;
Copy_5;Game_43;Available;
Copy_6;Game_43;Available;
Copy_1;Game_44;Not Available;
Copy_2;Game_44;Available;
Copy_3;Game_44;Available;
Copy_4;Game_44;Available;
Copy_5;Game_44;Available;
Copy_6;Game_44;Available;
Copy_1;Game_46;Available;
Copy_2;Game_46;Available;
Copy_3;Game_46;Not Available;
Copy_4;Game_46;Available;
Copy_5;Game_46;Available;
Copy_6;Game_46;Available;
Copy_1;Game_47;Not Available;
Copy_2;Game_47;Not Available;
Copy_3;Game_47;Not Available;
Copy_4;Game_47;Available;
Copy_1;Game_48;Available;
Copy_2;Game_48;Available;
Copy_1;Game_49;Available;
Copy_2;Game_49;Available;
Copy_1;Game_50;Available;
Copy_2;Game_50;Not Available;
Copy_3;Game_50;Available;
Copy_4;Game_50;Not Available;
Copy_1;Game_52;Available;
Copy_2;Game_52;Available;
Copy_3;Game_52;Available;
Copy_4;Game_52;Available;
Copy_1;Game_53;Not Available;
Copy_2;Game_53;Not Available;
Copy_3;Game_53;Available;
Copy_4;Game_53;Available;
Copy_5;Game_53;Available;
Copy_6;Game_53;Not Available;
Copy_1;Game_55;Available;
Copy_2;Game_55;Available;
Copy_3;Game_55;Available;
Copy_4;Game_55;Available;
Copy_1;Game_57;Available;
Copy_2;Game_57;Available;
Copy_1;Game_58;Available;
Copy_2;Game_58;Available;
Copy_3;Game_58;Not Available;
Copy_4;Game_58;Available;
Copy_5;Game_58;Available;
Copy_6;Game_58;Available;
Copy_1;Game_59;Available;
Copy_2;Game_59;Not Available;
Copy_3;Game_59;Available;
Copy_1;Game_60;Not Available;
Copy_2;Game_60;Available;
Copy_3;Game_60;Available;
Copy_4;Game_60;Not Available;
Copy_5;Game_60;Available;
Copy_1;Game_61;Available;
Copy_2;Game_61;Not Available;
Copy_3;Game_61;Not Available;
Copy_4;Game_61;Available;
Copy_5;Game_61;Available;
Copy_1;Game_62;Available;
Copy_2;Game_62;Available;
Copy_3;Game_62;Available;
Copy_4;Game_62;Not Available;
Copy_5;Game_62;Available;
Copy_1;Game_63;Not Available;
Copy_2;Game_63;Available;
Copy_3;Game_63;Not Available;
Copy_4;Game_63;Available;
Copy_1;Game_64;Not Available;
Copy_2;Game_64;Available;
Copy_1;Game_65;Not Available;
Copy_2;Game_65;Not Available;
Copy_3;Game_65;Available;
Copy_4;Game_65;Available;
Copy_5;Game_65;Available;
Copy_6;Game_65;Not Available;
Copy_1;Game_66;Available;
Copy_1;Game_67;Available;
Copy_2;Game_67;Available;
Copy_3;Game_67;Not Available;
Copy_4;Game_67;Available;
Copy_5;Game_67;Not Available;
Copy_6;Game_67;Not Available;
Copy_1;Game_68;Available;
Copy_2;Game_68;Available;
Copy_3;Game_68;Available;
Copy_4;Game_68;Available;
Copy_1;Game_71;Available;
Copy_2;Game_71;Not Available;
Copy_3;Game_71;Available;
Copy_4;Game_71;Available;
Copy_5;Game_71;Available;
Copy_6;Game_71;Available;
Copy_1;Game_72;Available;
Copy_2;Game_72;Available;
Copy_3;Game_72;Available;
Copy_1;Game_73;Available;
Copy_1;Game_74;Available;
Copy_2;Game_74;Available;
Copy_3;Game_74;Available;
Copy_4;Game_74;Not Available;
Copy_5;Game_74;Not Available;
Copy_6;Game_74;Not Available;
Copy_1;Game_75;Not Available;
Copy_2;Game_75;Available;
Copy_3;Game_75;Available;
Copy_1;Game_76;Available;
Copy_2;Game_76;Not Available;
Copy_3;Game_76;Available;
Copy_1;Game_78;Not Available;
Copy_2;Game_78;Not Available;
Copy_3;Game_78;Available;
Copy_4;Game_78;Available;
Copy_5;Game_78;Available;
Copy_6;Game_78;Not Available;
Copy_1;Game_79;Available;
Copy_2;Game_79;Available;
Copy_3;Game_79;Available;
Copy_1;Game_80;Not Available;
Copy_1;Game_81;Available;
Copy_2;Game_81;Available;
