Game Id;Platform;Genre;Title;Purchase Price;Purchase Date
1;Xbox;Actions;Game_1_Actions;62;20-02-24
2;Nintendo;Actions;Game_2_Actions;50;14-11-23
3;Xbox;Adventures;Game_3_Adventures;52;03-08-23
4;Xbox;Puzzle;Game_4_Puzzle;67;13-02-22
5;Nintendo;Adventures;Game_5_Adventures;51;13-01-24
6;PlayStations;Actions;Game_6_Actions;63;05-08-23
7;Nintendo;Shooter;Game_7_Shooter;35;03-08-23
8;Nintendo;Shooter;Game_8_Shooter;59;29-06-22
9;Xbox;Puzzle;Game_9_Puzzle;32;30-12-22
10;PlayStations;Actions;Game_10_Actions;47;09-11-22
11;Nintendo;Shooter;Game_11_Shooter;42;18-02-22
12;Nintendo;Adventures;Game_12_Adventures;49;13-12-23
13;PlayStations;Actions;Game_13_Actions;60;15-10-21
14;Xbox;Adventures;Game_14_Adventures;30;10-09-22
15;Xbox;Puzzle;Game_15_Puzzle;30;02-10-23
16;Nintendo;Shooter;Game_16_Shooter;29;11-06-23
17;Xbox;Actions;Game_17_Actions;49;16-02-22
18;Xbox;Shooter;Game_18_Shooter;62;23-09-22
19;PlayStations;Shooter;Game_19_Shooter;20;24-12-23
20;PlayStations;Adventures;Game_20_Adventures;64;11-08-22
21;Xbox;Shooter;Game_21_Shooter;44;07-09-22
22;PlayStations;Actions;Game_22_Actions;23;04-03-23
23;PlayStations;Adventures;Game_23_Adventures;60;24-01-22
24;Nintendo;Adventures;Game_24_Adventures;46;19-09-22
25;Xbox;Puzzle;Game_25_Puzzle;38;09-02-24
26;Nintendo;Adventures;Game_26_Adventures;51;09-08-23
27;PlayStations;Actions;Game_27_Actions;34;15-10-23
28;Xbox;Shooter;Game_28_Shooter;64;20-11-21
29;PlayStations;Shooter;Game_29_Shooter;27;14-08-22
30;Xbox;Shooter;Game_30_Shooter;49;22-04-23
31;PlayStations;Actions;Game_31_Actions;57;26-11-23
32;Nintendo;Puzzle;Game_32_Puzzle;21;04-11-22
33;Nintendo;Actions;Game_33_Actions;26;21-02-24
34;Nintendo;Shooter;Game_34_Shooter;30;21-05-22
35;Xbox;Puzzle;Game_35_Puzzle;61;18-12-21
36;Nintendo;Actions;Game_36_Actions;41;04-06-22
37;Nintendo;Shooter;Game_37_Shooter;52;19-10-23
38;Xbox;Shooter;Game_38_Shooter;45;20-08-23
39;Xbox;Puzzle;Game_39_Puzzle;58;05-12-22
40;Xbox;Puzzle;Game_40_Puzzle;32;24-12-22
41;Nintendo;Actions;Game_41_Actions;57;26-11-23
42;Nintendo;Actions;Game_42_Actions;25;23-01-24
43;Xbox;Actions;Game_43_Actions;50;08-04-23
44;Xbox;Shooter;Game_44_Shooter;62;20-07-23
45;PlayStations;Adventures;Game_45_Adventures;46;24-02-23
46;PlayStations;Adventures;Game_46_Adventures;35;19-01-22
47;Xbox;Adventures;Game_47_Adventures;60;28-08-23
48;PlayStations;Shooter;Game_48_Shooter;24;28-09-22
49;Nintendo;Actions;Game_49_Actions;46;06-02-23
50;Xbox;Shooter;Game_50_Shooter;28;09-02-23
51;PlayStations;Puzzle;Game_51_Puzzle;38;02-07-23
52;PlayStations;Shooter;Game_52_Shooter;50;11-01-23
53;Xbox;Puzzle;Game_53_Puzzle;39;21-02-22
54;Nintendo;Shooter;Game_54_Shooter;65;21-06-23
55;PlayStations;Adventures;Game_55_Adventures;61;09-07-22
56;PlayStations;Adventures;Game_56_Adventures;55;18-06-23
57;Xbox;Adventures;Game_57_Adventures;58;18-04-22
58;Xbox;Actions;Game_58_Actions;29;28-09-23
59;Xbox;Adventures;Game_59_Adventures;53;06-11-23
60;Nintendo;Adventures;Game_60_Adventures;52;11-03-23
61;Xbox;Actions;Game_61_Actions;55;06-09-22
62;Nintendo;Actions;Game_62_Actions;29;29-11-22
63;PlayStations;Puzzle;Game_63_Puzzle;49;06-05-22
64;Nintendo;Shooter;Game_64_Shooter;59;10-11-21
65;Xbox;Shooter;Game_65_Shooter;42;30-08-23
66;Xbox;Adventures;Game_66_Adventures;68;17-01-24
67;Nintendo;Actions;Game_67_Actions;31;05-04-23
