Rental Id;Game Id;Copy Id;Rental Date;Return Date;Customer Id;
Rental_0;Game_2;Copy_1;25-03-24;26-03-25;Cust_1023;
Rental_1;Game_4;Copy_1;21-12-23;21-01-22;Cust_1069;
Rental_2;Game_5;Copy_3;09-02-24; ;Cust_1092;
Rental_3;Game_7;Copy_2;14-12-23;24-01-15;Cust_1111;
Rental_4;Game_7;Copy_5;10-04-24; ;Cust_1061;
Rental_5;Game_8;Copy_1;26-11-23;01-12-26;Cust_1036;
Rental_6;Game_9;Copy_2;27-11-23;01-01-28;Cust_1127;
Rental_7;Game_11;Copy_2;12-04-24; ;Cust_1098;
Rental_8;Game_11;Copy_4;28-01-24;20-02-28;Cust_1117;
Rental_9;Game_11;Copy_5;26-11-23; ;Cust_1125;
Rental_10;Game_16;Copy_1;12-01-24;25-01-12;Cust_1030;
Rental_11;Game_16;Copy_5;13-03-24;01-04-13;Cust_1128;
Rental_12;Game_19;Copy_2;31-12-23;12-01-32;Cust_1082;
Rental_13;Game_19;Copy_3;13-12-23; ;Cust_1093;
Rental_14;Game_22;Copy_1;07-05-24; ;Cust_1038;
Rental_15;Game_23;Copy_3;16-12-23; ;Cust_1099;
Rental_16;Game_24;Copy_1;17-02-24; ;Cust_1009;
Rental_17;Game_27;Copy_2;20-04-24;26-05-20;Cust_1020;
Rental_18;Game_30;Copy_3;14-12-23;27-12-14;Cust_1076;
Rental_19;Game_31;Copy_2;11-12-23;31-01-12;Cust_1112;
Rental_20;Game_31;Copy_3;19-12-23;23-01-20;Cust_1098;
Rental_21;Game_31;Copy_5;12-01-24; ;Cust_1069;
Rental_22;Game_32;Copy_2;27-03-24; ;Cust_1045;
Rental_23;Game_33;Copy_1;12-04-24;27-04-12;Cust_1082;
Rental_24;Game_34;Copy_3;15-04-24;21-05-15;Cust_1119;
Rental_25;Game_35;Copy_3;11-05-24;30-06-11;Cust_1110;
Rental_26;Game_35;Copy_4;28-02-24; ;Cust_1105;
Rental_27;Game_36;Copy_3;14-01-24;08-02-14;Cust_1121;
Rental_28;Game_36;Copy_4;17-05-24; ;Cust_1038;
Rental_29;Game_36;Copy_5;15-12-23;16-01-16;Cust_1105;
Rental_30;Game_38;Copy_1;09-12-23; ;Cust_1116;
Rental_31;Game_38;Copy_4;02-01-24; ;Cust_1011;
Rental_32;Game_39;Copy_3;24-01-24;26-02-24;Cust_1098;
Rental_33;Game_40;Copy_4;09-01-24; ;Cust_1019;
Rental_34;Game_40;Copy_6;28-11-23; ;Cust_1073;
Rental_35;Game_42;Copy_2;17-12-23;06-01-18;Cust_1000;
Rental_36;Game_42;Copy_3;10-02-24; ;Cust_1086;
Rental_37;Game_43;Copy_4;07-04-24; ;Cust_1084;
Rental_38;Game_44;Copy_1;04-04-24;30-04-04;Cust_1096;
Rental_39;Game_46;Copy_3;29-01-24; ;Cust_1038;
Rental_40;Game_47;Copy_1;24-12-23; ;Cust_1014;
Rental_41;Game_47;Copy_2;22-05-24;24-06-22;Cust_1124;
Rental_42;Game_47;Copy_3;08-05-24;05-06-08;Cust_1121;
Rental_43;Game_50;Copy_2;27-11-23;23-12-27;Cust_1003;
Rental_44;Game_50;Copy_4;28-03-24; ;Cust_1026;
Rental_45;Game_53;Copy_1;02-03-24;26-04-02;Cust_1093;
Rental_46;Game_53;Copy_2;13-05-24;22-06-13;Cust_1003;
Rental_47;Game_53;Copy_6;08-12-23;31-12-08;Cust_1123;
Rental_48;Game_58;Copy_3;01-12-23; ;Cust_1072;
Rental_49;Game_59;Copy_2;01-05-24;26-06-01;Cust_1126;
Rental_50;Game_60;Copy_1;02-02-24; ;Cust_1106;
Rental_51;Game_60;Copy_4;10-02-24;22-03-10;Cust_1076;
Rental_52;Game_61;Copy_2;04-02-24;17-03-04;Cust_1028;
Rental_53;Game_61;Copy_3;02-04-24; ;Cust_1071;
Rental_54;Game_62;Copy_4;29-01-24;01-03-29;Cust_1081;
Rental_55;Game_63;Copy_1;18-05-24; ;Cust_1066;
Rental_56;Game_63;Copy_3;07-05-24;06-06-07;Cust_1063;
Rental_57;Game_64;Copy_1;23-05-24;30-05-23;Cust_1072;
Rental_58;Game_65;Copy_1;28-02-24; ;Cust_1063;
Rental_59;Game_65;Copy_2;02-04-24;02-06-02;Cust_1084;
Rental_60;Game_65;Copy_6;03-01-24; ;Cust_1098;
Rental_61;Game_67;Copy_3;05-01-24; ;Cust_1123;
Rental_62;Game_67;Copy_5;13-01-24; ;Cust_1066;
Rental_63;Game_67;Copy_6;23-05-24; ;Cust_1103;
Rental_64;Game_71;Copy_2;22-12-23;25-12-22;Cust_1057;
Rental_65;Game_74;Copy_4;17-04-24;25-04-17;Cust_1128;
Rental_66;Game_74;Copy_5;20-12-23; ;Cust_1069;
Rental_67;Game_74;Copy_6;14-12-23; ;Cust_1013;
Rental_68;Game_75;Copy_1;25-01-24;27-01-25;Cust_1012;
Rental_69;Game_76;Copy_2;27-04-24;01-05-27;Cust_1089;
Rental_70;Game_78;Copy_1;29-01-24; ;Cust_1026;
Rental_71;Game_78;Copy_2;17-04-24;27-04-17;Cust_1051;
Rental_72;Game_78;Copy_6;25-02-24;09-03-25;Cust_1005;
Rental_73;Game_80;Copy_1;15-01-24;14-02-15;Cust_1010;
Rental_74;Game_86;Copy_1;22-12-23;30-12-22;Cust_1000;
Rental_75;Game_87;Copy_1;20-04-24;02-05-20;Cust_1077;
Rental_76;Game_87;Copy_3;23-02-24; ;Cust_1013;
Rental_77;Game_88;Copy_2;03-03-24;24-04-03;Cust_1084;
Rental_78;Game_89;Copy_1;02-05-24; ;Cust_1058;
Rental_79;Game_90;Copy_1;01-02-24;19-03-01;Cust_1022;
Rental_80;Game_90;Copy_2;14-12-23; ;Cust_1077;
Rental_81;Game_90;Copy_3;03-01-24;08-02-03;Cust_1027;
Rental_82;Game_92;Copy_4;03-12-23; ;Cust_1116;
Rental_83;Game_93;Copy_1;05-01-24; ;Cust_1010;
Rental_84;Game_94;Copy_1;01-02-24;12-03-01;Cust_1016;
Rental_85;Game_94;Copy_3;06-02-24;27-02-06;Cust_1084;
Rental_86;Game_94;Copy_4;09-05-24;29-05-09;Cust_1121;
Rental_87;Game_95;Copy_1;28-02-24; ;Cust_1113;
Rental_88;Game_96;Copy_1;01-12-23; ;Cust_1004;
Rental_89;Game_97;Copy_2;27-02-24;03-03-27;Cust_1027;
Rental_90;Game_100;Copy_1;19-01-24;01-02-19;Cust_1120;
